date,f107,kp
1783-05,-1,-1
1783-06,-1,-1
1783-07,-1,-1
1783-08,-1,-1
1783-09,-1,-1
1783-10,-1,-1
1783-11,-1,-1
1783-12,-1,-1
1784-01,-1,-1
1784-02,-1,-1
1784-03,-1,-1
1784-04,-1,-1
1784-05,-1,-1
1784-06,-1,-1
1784-07,-1,-1
1784-08,-1,-1
1784-09,-1,-1
1784-10,-1,-1
1784-11,-1,-1
1784-12,-1,-1
1785-01,-1,-1
1785-02,-1,-1
1785-03,-1,-1
1785-04,-1,-1
1785-05,-1,-1
1785-06,-1,-1
1785-07,-1,-1
1785-08,-1,-1
1785-09,-1,-1
1785-10,-1,-1
1785-11,-1,-1
1785-12,-1,-1
1786-01,-1,-1
1786-02,-1,-1
1786-03,-1,-1
1786-04,-1,-1
1786-05,-1,-1
1786-06,-1,-1
1786-07,-1,-1
1786-08,-1,-1
1786-09,-1,-1
1786-10,-1,-1
1786-11,-1,-1
1786-12,-1,-1
1787-01,-1,-1
1787-02,-1,-1
1787-03,-1,-1
1787-04,-1,-1
1787-05,-1,-1
1787-06,-1,-1
1787-07,-1,-1
1787-08,-1,-1
1787-09,-1,-1
1787-10,-1,-1
1787-11,-1,-1
1787-12,-1,-1
1788-01,-1,-1
1788-02,-1,-1
1788-03,-1,-1
1788-04,-1,-1
1788-05,-1,-1
1788-06,-1,-1
1788-07,-1,-1
1788-08,-1,-1
1788-09,-1,-1
1788-10,-1,-1
1788-11,-1,-1
1788-12,-1,-1
1789-01,-1,-1
1789-02,-1,-1
1789-03,-1,-1
1789-04,-1,-1
1789-05,-1,-1
1789-06,-1,-1
1789-07,-1,-1
1789-08,-1,-1
1789-09,-1,-1
1789-10,-1,-1
1789-11,-1,-1
1789-12,-1,-1
1790-01,-1,-1
1790-02,-1,-1
1790-03,-1,-1
1790-04,-1,-1
1790-05,-1,-1
1790-06,-1,-1
1790-07,-1,-1
1790-08,-1,-1
1790-09,-1,-1
1790-10,-1,-1
1790-11,-1,-1
1790-12,-1,-1
1791-01,-1,-1
1791-02,-1,-1
1791-03,-1,-1
1791-04,-1,-1
1791-05,-1,-1
1791-06,-1,-1
1791-07,-1,-1
1791-08,-1,-1
1791-09,-1,-1
1791-10,-1,-1
1791-11,-1,-1
1791-12,-1,-1
1792-01,-1,-1
1792-02,-1,-1
1792-03,-1,-1
1792-04,-1,-1
1792-05,-1,-1
1792-06,-1,-1
1792-07,-1,-1
1792-08,-1,-1
1792-09,-1,-1
1792-10,-1,-1
1792-11,-1,-1
1792-12,-1,-1
1793-01,-1,-1
1793-02,-1,-1
1793-03,-1,-1
1793-04,-1,-1
1793-05,-1,-1
1793-06,-1,-1
1793-07,-1,-1
1793-08,-1,-1
1793-09,-1,-1
1793-10,-1,-1
1793-11,-1,-1
1793-12,-1,-1
1794-01,-1,-1
1794-02,-1,-1
1794-03,-1,-1
1794-04,-1,-1
1794-05,-1,-1
1794-06,-1,-1
1794-07,-1,-1
1794-08,-1,-1
1794-09,-1,-1
1794-10,-1,-1
1794-11,-1,-1
1794-12,-1,-1
1795-01,-1,-1
1795-02,-1,-1
1795-03,-1,-1
1795-04,-1,-1
1795-05,-1,-1
1795-06,-1,-1
1795-07,-1,-1
1795-08,-1,-1
1795-09,-1,-1
1795-10,-1,-1
1795-11,-1,-1
1795-12,-1,-1
1796-01,-1,-1
1796-02,-1,-1
1796-03,-1,-1
1796-04,-1,-1
1796-05,-1,-1
1796-06,-1,-1
1796-07,-1,-1
1796-08,-1,-1
1796-09,-1,-1
1796-10,-1,-1
1796-11,-1,-1
1796-12,-1,-1
1797-01,-1,-1
1797-02,-1,-1
1797-03,-1,-1
1797-04,-1,-1
1797-05,-1,-1
1797-06,-1,-1
1797-07,-1,-1
1797-08,-1,-1
1797-09,-1,-1
1797-10,-1,-1
1797-11,-1,-1
1797-12,-1,-1
1798-01,-1,-1
1798-02,-1,-1
1798-03,-1,-1
1798-04,-1,-1
1798-05,-1,-1
1798-06,-1,-1
1798-07,-1,-1
1798-08,-1,-1
1798-09,-1,-1
1798-10,-1,-1
1798-11,-1,-1
1798-12,-1,-1
1799-01,-1,-1
1799-02,-1,-1
1799-03,-1,-1
1799-04,-1,-1
1799-05,-1,-1
1799-06,-1,-1
1799-07,-1,-1
1799-08,-1,-1
1799-09,-1,-1
1799-10,-1,-1
1799-11,-1,-1
1799-12,-1,-1
1800-01,-1,-1
1800-02,-1,-1
1800-03,-1,-1
1800-04,-1,-1
1800-05,-1,-1
1800-06,-1,-1
1800-07,-1,-1
1800-08,-1,-1
1800-09,-1,-1
1800-10,-1,-1
1800-11,-1,-1
1800-12,-1,-1
1801-01,-1,-1
1801-02,-1,-1
1801-03,-1,-1
1801-04,-1,-1
1801-05,-1,-1
1801-06,-1,-1
1801-07,-1,-1
1801-08,-1,-1
1801-09,-1,-1
1801-10,-1,-1
1801-11,-1,-1
1801-12,-1,-1
1802-01,-1,-1
1802-02,-1,-1
1802-03,-1,-1
1802-04,-1,-1
1802-05,-1,-1
1802-06,-1,-1
1802-07,-1,-1
1802-08,-1,-1
1802-09,-1,-1
1802-10,-1,-1
1802-11,-1,-1
1802-12,-1,-1
1803-01,-1,-1
1803-02,-1,-1
1803-03,-1,-1
1803-04,-1,-1
1803-05,-1,-1
1803-06,-1,-1
1803-07,-1,-1
1803-08,-1,-1
1803-09,-1,-1
1803-10,-1,-1
1803-11,-1,-1
1803-12,-1,-1
1804-01,-1,-1
1804-02,-1,-1
1804-03,-1,-1
1804-04,-1,-1
1804-05,-1,-1
1804-06,-1,-1
1804-07,-1,-1
1804-08,-1,-1
1804-09,-1,-1
1804-10,-1,-1
1804-11,-1,-1
1804-12,-1,-1
1805-01,-1,-1
1805-02,-1,-1
1805-03,-1,-1
1805-04,-1,-1
1805-05,-1,-1
1805-06,-1,-1
1805-07,-1,-1
1805-08,-1,-1
1805-09,-1,-1
1805-10,-1,-1
1805-11,-1,-1
1805-12,-1,-1
1806-01,-1,-1
1806-02,-1,-1
1806-03,-1,-1
1806-04,-1,-1
1806-05,-1,-1
1806-06,-1,-1
1806-07,-1,-1
1806-08,-1,-1
1806-09,-1,-1
1806-10,-1,-1
1806-11,-1,-1
1806-12,-1,-1
1807-01,-1,-1
1807-02,-1,-1
1807-03,-1,-1
1807-04,-1,-1
1807-05,-1,-1
1807-06,-1,-1
1807-07,-1,-1
1807-08,-1,-1
1807-09,-1,-1
1807-10,-1,-1
1807-11,-1,-1
1807-12,-1,-1
1808-01,-1,-1
1808-02,-1,-1
1808-03,-1,-1
1808-04,-1,-1
1808-05,-1,-1
1808-06,-1,-1
1808-07,-1,-1
1808-08,-1,-1
1808-09,-1,-1
1808-10,-1,-1
1808-11,-1,-1
1808-12,-1,-1
1809-01,-1,-1
1809-02,-1,-1
1809-03,-1,-1
1809-04,-1,-1
1809-05,-1,-1
1809-06,-1,-1
1809-07,-1,-1
1809-08,-1,-1
1809-09,-1,-1
1809-10,-1,-1
1809-11,-1,-1
1809-12,-1,-1
1810-01,-1,-1
1810-02,-1,-1
1810-03,-1,-1
1810-04,-1,-1
1810-05,-1,-1
1810-06,-1,-1
1810-07,-1,-1
1810-08,-1,-1
1810-09,-1,-1
1810-10,-1,-1
1810-11,-1,-1
1810-12,-1,-1
1811-01,-1,-1
1811-02,-1,-1
1811-03,-1,-1
1811-04,-1,-1
1811-05,-1,-1
1811-06,-1,-1
1811-07,-1,-1
1811-08,-1,-1
1811-09,-1,-1
1811-10,-1,-1
1811-11,-1,-1
1811-12,-1,-1
1812-01,-1,-1
1812-02,-1,-1
1812-03,-1,-1
1812-04,-1,-1
1812-05,-1,-1
1812-06,-1,-1
1812-07,-1,-1
1812-08,-1,-1
1812-09,-1,-1
1812-10,-1,-1
1812-11,-1,-1
1812-12,-1,-1
1813-01,-1,-1
1813-02,-1,-1
1813-03,-1,-1
1813-04,-1,-1
1813-05,-1,-1
1813-06,-1,-1
1813-07,-1,-1
1813-08,-1,-1
1813-09,-1,-1
1813-10,-1,-1
1813-11,-1,-1
1813-12,-1,-1
1814-01,-1,-1
1814-02,-1,-1
1814-03,-1,-1
1814-04,-1,-1
1814-05,-1,-1
1814-06,-1,-1
1814-07,-1,-1
1814-08,-1,-1
1814-09,-1,-1
1814-10,-1,-1
1814-11,-1,-1
1814-12,-1,-1
1815-01,-1,-1
1815-02,-1,-1
1815-03,-1,-1
1815-04,-1,-1
1815-05,-1,-1
1815-06,-1,-1
1815-07,-1,-1
1815-08,-1,-1
1815-09,-1,-1
1815-10,-1,-1
1815-11,-1,-1
1815-12,-1,-1
1816-01,-1,-1
1816-02,-1,-1
1816-03,-1,-1
1816-04,-1,-1
1816-05,-1,-1
1816-06,-1,-1
1816-07,-1,-1
1816-08,-1,-1
1816-09,-1,-1
1816-10,-1,-1
1816-11,-1,-1
1816-12,-1,-1
1817-01,-1,-1
1817-02,-1,-1
1817-03,-1,-1
1817-04,-1,-1
1817-05,-1,-1
1817-06,-1,-1
1817-07,-1,-1
1817-08,-1,-1
1817-09,-1,-1
1817-10,-1,-1
1817-11,-1,-1
1817-12,-1,-1
1818-01,-1,-1
1818-02,-1,-1
1818-03,-1,-1
1818-04,-1,-1
1818-05,-1,-1
1818-06,-1,-1
1818-07,-1,-1
1818-08,-1,-1
1818-09,-1,-1
1818-10,-1,-1
1818-11,-1,-1
1818-12,-1,-1
1819-01,-1,-1
1819-02,-1,-1
1819-03,-1,-1
1819-04,-1,-1
1819-05,-1,-1
1819-06,-1,-1
1819-07,-1,-1
1819-08,-1,-1
1819-09,-1,-1
1819-10,-1,-1
1819-11,-1,-1
1819-12,-1,-1
1820-01,-1,-1
1820-02,-1,-1
1820-03,-1,-1
1820-04,-1,-1
1820-05,-1,-1
1820-06,-1,-1
1820-07,-1,-1
1820-08,-1,-1
1820-09,-1,-1
1820-10,-1,-1
